temperature,humidity,pressure,wind_speed,thunderstorm
35.2,92.54,1018.82,8.53,0
39.64,54.13,991.57,11.99,0
29.45,79.08,1009.93,8.18,0
39.35,67.55,997.82,23.62,1
35.42,79.02,1015.01,23.11,1
33.22,69.18,1013.9,24.02,0
31.96,60.85,1009.9,21.83,0
35.14,85.82,1006.04,26.41,1
28.94,46.71,1005.28,7.62,0
36.6,76.75,1019.58,3.78,0
27.72,94.23,1003.59,26.35,1
35.16,97.97,1012.44,21.39,1
38.02,83.51,1009.16,9.91,0
39.27,59.56,991.03,2.8,0
22.01,88.54,997.26,4.91,0
24.72,72.12,1009.03,28.97,0
37.58,96.63,1013.89,18.12,1
22.4,93.09,1018.37,23.76,0
39.56,91.54,1018.52,13.24,1
37.91,60.4,1015.66,28.07,0
22.51,43.39,991.43,25.54,0
23.95,93.43,1005.11,13.11,0
25.06,70.32,1007.24,10.41,0
21.45,93.45,992.89,9.58,0
35.83,87.66,1008.52,10.34,0
27.63,51.25,994.24,22.22,0
30.29,92.37,1019.33,7.48,0
26.87,87.12,1005.77,16.13,0
26.53,98.43,1017.21,18.09,0
35.34,48.91,1000.71,4.22,0
31.5,86.15,999.67,11.78,1
32.12,98.07,1015.19,25.95,1
37.31,47.46,991.75,17.28,1
39.64,81.43,1009.74,2.13,0
36.78,64.99,998.51,28.46,1
21.84,52.1,1000.32,14.81,0
23.8,93.94,1011.12,27.45,0
35.66,56.04,996.01,13.48,1
32.55,55.86,1017.1,20.47,0
36.95,48.74,1016.02,15.13,0
35.08,55.76,1014.5,13.57,0
39.91,42.47,1005.41,9.87,0
20.87,89.58,998.44,17.19,1
29.29,77.71,1002.79,5.14,1
21.6,91.96,1019.55,13.38,0
39.34,85.26,994.27,9.9,1
33.36,92.35,1011.19,29.28,1
26.83,65.98,990.98,3.74,0
37.43,47.41,999.99,22.46,1
33.48,93.97,1012.55,18.94,1
20.9,77.76,1008.83,12.72,0
33.42,47.49,992.72,2.13,0
27.91,87.1,1019.16,16.48,0
24.85,58.54,1011.33,17.74,0
35.98,48.7,996.51,17.77,1
21.05,84.8,1018.51,6.78,0
39.62,79.93,992.51,6.12,1
21.6,65.23,1010.24,16.57,0
34.34,53.75,1005.94,27.08,0
32.58,86.02,993.8,8.74,1
31.15,40.38,996.38,24.75,1
28.19,96.8,997.0,16.06,1
22.25,49.52,1000.05,15.98,0
23.5,99.15,996.58,7.11,0
21.42,72.8,1000.34,15.36,0
33.01,46.54,1001.74,26.93,1
33.84,51.75,1006.98,18.27,0
28.2,67.39,1019.12,26.76,0
39.5,81.32,994.08,15.58,1
23.18,66.84,1018.56,2.81,0
25.06,98.87,1005.24,20.39,0
21.87,64.7,1017.47,12.61,0
20.29,77.32,1000.54,27.88,1
28.07,99.01,1016.2,14.11,1
30.89,86.57,1007.72,10.91,0
37.87,89.16,1005.21,6.62,0
20.15,70.5,1007.9,15.03,0
31.99,45.25,1018.9,6.49,0
39.43,75.28,996.51,24.54,1
30.96,95.0,1013.75,8.98,0
35.09,73.23,1001.09,26.27,1
35.75,70.0,1006.19,17.09,0
32.72,61.97,1001.14,13.58,1
32.31,40.03,1007.3,12.22,0
39.29,45.5,1002.01,14.38,1
21.4,75.68,1009.01,10.92,0
37.72,72.6,1004.97,5.53,0
27.71,69.57,996.95,17.56,0
24.71,89.13,996.53,18.95,1
32.96,78.94,1011.84,22.23,1
35.43,75.77,1018.81,3.03,0
27.31,87.19,1018.7,3.76,0
35.72,93.89,990.92,14.79,1
34.09,63.78,1001.21,6.24,0
24.22,70.88,991.25,12.15,0
30.5,60.48,1002.05,6.52,0
39.6,56.89,1003.61,28.91,1
35.02,92.27,1007.4,21.57,1
29.53,70.75,991.8,20.05,1
34.09,54.12,1016.15,9.55,0
39.29,43.49,997.99,8.68,0
34.72,94.97,1014.64,2.81,0
37.25,66.64,1013.4,7.88,0
33.73,78.97,992.91,11.91,1
29.4,79.36,1008.44,28.09,1
22.44,89.27,995.23,15.67,1
29.45,53.99,1000.57,17.12,1
37.87,58.42,1010.11,27.83,0
30.58,93.78,997.68,27.55,1
32.08,99.06,1000.08,11.27,1
21.35,58.16,1012.67,23.55,0
25.67,78.91,1003.22,6.53,0
22.01,90.32,998.42,20.59,1
30.64,44.87,1011.91,28.19,0
24.72,75.25,995.38,15.42,1
22.04,42.54,1016.6,20.12,0
22.22,93.87,1005.01,16.37,0
29.89,72.48,1013.36,13.11,0
30.83,82.38,1005.17,25.36,1
25.96,95.22,1003.04,7.7,0
32.84,90.9,1010.01,28.7,1
36.9,48.01,1004.79,11.64,0
27.85,42.72,1000.83,12.82,0
38.93,60.81,995.96,8.49,0
20.77,73.53,1001.38,29.77,0
28.33,89.23,1016.58,17.08,1
23.85,69.09,1018.29,2.15,0
32.61,44.62,1015.89,18.3,0
29.69,47.01,996.94,12.76,1
34.32,94.52,993.42,5.96,1
20.0,45.45,995.29,15.1,0
34.53,66.82,1004.51,22.72,1
24.39,80.25,1012.34,22.36,0
37.09,97.6,993.74,15.42,1
32.03,86.63,1012.62,21.74,1
32.33,74.71,1011.71,17.62,0
29.25,55.97,1018.66,25.67,0
20.86,48.51,1014.03,18.6,0
23.37,98.82,1016.76,23.12,0
29.03,70.94,1003.93,26.47,1
26.48,70.83,1015.96,17.08,0
27.84,52.07,1004.52,14.07,0
24.89,73.2,996.25,20.57,0
23.78,85.51,999.04,6.45,0
32.46,67.11,1014.38,14.56,0
24.01,81.61,1015.79,16.37,0
29.95,77.22,1000.81,14.52,1
23.94,69.48,1012.5,25.95,0
24.24,92.1,1012.98,17.54,0
33.36,71.24,1002.89,4.26,0
37.86,56.99,1018.73,28.59,0
31.34,59.23,997.55,3.39,0
26.04,57.75,1005.13,5.32,0
26.15,55.64,1014.82,17.99,0
31.07,84.35,1005.34,16.72,1
39.44,65.79,1005.8,17.31,0
32.73,86.15,996.21,12.71,1
34.9,96.45,1015.72,9.47,0
22.93,77.13,992.3,21.82,1
23.46,77.3,1009.32,28.35,0
29.15,73.87,1000.37,6.24,0
35.61,45.48,993.45,28.7,1
21.65,41.21,996.54,15.84,0
21.2,80.96,998.77,7.57,0
27.92,46.3,994.88,17.2,0
35.7,60.68,995.89,2.28,0
27.3,46.09,1006.2,12.06,0
20.76,88.71,1009.26,28.92,0
26.25,49.77,1016.31,8.08,0
20.55,54.69,993.04,11.62,0
31.27,66.86,1007.8,3.98,0
29.76,92.43,1018.36,10.42,0
20.09,85.63,1003.67,15.03,1
35.18,66.9,1019.45,18.38,0
26.69,52.96,1018.82,8.59,0
38.51,91.07,1003.04,16.21,1
32.48,97.76,993.8,10.79,1
33.71,87.1,998.26,22.1,1
28.03,46.2,1016.14,5.2,0
31.85,52.21,1016.44,2.44,0
32.84,76.89,1018.57,12.46,1
21.22,60.47,997.15,3.41,0
35.59,78.47,1017.96,2.77,0
22.67,69.92,1004.84,20.16,0
22.53,44.71,1014.98,26.66,0
23.8,45.73,990.19,20.09,0
33.27,80.04,990.75,14.39,1
28.07,76.43,1012.74,3.11,0
28.75,93.07,1014.92,3.52,0
31.16,89.64,995.47,2.18,1
26.02,84.26,1018.24,26.34,0
36.34,73.3,993.27,10.98,0
27.27,41.1,993.37,14.37,0
33.51,73.84,1005.54,3.53,0
28.17,49.61,997.07,25.92,1
30.14,63.52,1001.7,28.88,1
30.28,43.91,1008.26,9.49,0
28.51,42.24,997.62,15.32,1
31.93,44.24,1009.35,12.0,0
40.0,86.12,1004.83,13.11,1
34.55,43.16,1014.21,21.31,0
23.76,53.05,1013.88,6.84,0
34.09,88.89,992.02,11.83,1
36.16,54.01,1008.45,19.75,0
38.71,72.71,1015.36,15.08,0
23.05,81.47,992.69,15.45,1
34.94,66.45,1014.92,24.24,0
38.62,71.2,991.39,17.64,1
31.77,80.32,997.38,27.45,1
23.31,94.9,1019.11,12.68,0
37.47,47.87,996.95,21.4,1
20.65,83.56,1003.71,13.77,1
24.27,45.87,1016.83,6.44,0
31.93,75.39,992.49,14.09,1
30.27,46.5,1010.94,4.67,0
29.65,55.77,993.35,10.9,0
27.68,53.53,1000.36,18.26,0
33.8,53.94,1005.68,11.21,0
27.56,98.33,1019.86,14.56,0
34.08,61.74,998.26,26.78,1
21.27,96.11,1018.43,14.3,0
30.54,96.95,1017.76,23.63,1
30.19,58.27,1002.03,22.45,1
35.45,65.26,996.6,24.92,1
37.51,57.55,994.68,19.22,1
30.64,44.11,998.61,14.61,1
37.47,78.12,1009.3,3.11,0
26.21,50.58,1008.28,11.83,0
39.09,92.53,1007.75,15.89,1
20.04,65.69,1010.03,18.03,0
28.44,67.29,1015.14,19.77,0
23.41,81.12,1009.95,7.36,0
28.21,77.42,1011.22,14.19,1
37.38,46.21,1015.42,8.77,0
34.12,61.74,993.3,5.78,0
23.85,63.17,1014.63,20.07,0
27.33,61.84,990.5,10.4,0
38.66,95.1,1018.15,3.19,0
21.94,90.53,993.78,24.31,1
31.69,59.94,1005.94,11.29,0
25.3,74.57,993.73,3.88,0
27.92,84.8,1013.3,8.08,0
39.34,94.71,999.32,4.17,1
30.71,94.69,993.65,5.8,1
39.49,75.98,996.72,9.6,1
28.61,79.07,1016.62,4.06,0
21.2,63.86,1018.51,21.45,0
28.46,42.25,1015.6,20.29,0
22.56,89.47,1000.56,11.13,0
32.44,81.26,1000.17,29.95,1
33.74,85.64,992.32,23.05,1
29.37,94.98,1007.95,24.31,1
26.01,92.98,1001.79,4.27,0
21.63,52.6,1005.21,10.1,0
23.45,66.23,1002.49,7.82,0
31.33,46.66,1015.4,29.87,0
21.53,64.83,1007.76,7.67,0
36.7,62.34,1010.54,21.68,0
29.42,79.81,1017.7,20.55,1
30.06,57.12,1006.83,22.37,0
24.38,49.53,1018.64,20.35,0
24.95,94.78,995.37,15.5,1
25.32,76.63,1019.81,2.48,0
22.88,83.39,1011.89,19.44,0
33.39,41.57,1006.81,10.85,0
34.63,42.16,1006.82,15.35,0
21.4,90.26,997.1,18.52,1
31.06,63.04,1012.24,6.57,0
39.6,99.86,1006.83,8.15,0
22.79,97.81,1010.43,12.68,0
21.34,53.65,1014.33,25.76,0
23.3,58.04,1013.16,14.69,0
35.88,69.61,996.79,12.64,1
23.75,99.01,1016.71,18.13,0
30.84,47.26,993.15,20.84,1
26.31,92.36,992.31,17.16,1
32.34,91.25,1005.48,24.34,1
22.5,87.07,992.55,24.4,1
38.99,57.0,1014.42,8.3,0
26.28,96.34,1001.67,14.37,1
26.82,40.27,1005.08,8.15,0
21.82,87.12,1016.74,24.61,0
23.92,69.85,1005.92,19.76,0
34.35,43.23,1005.14,10.0,0
28.57,45.66,997.88,24.8,1
27.12,47.73,993.04,14.42,0
36.02,56.95,1005.79,24.64,0
23.95,61.32,1005.96,27.35,0
28.1,79.18,1014.38,11.97,0
21.86,58.03,992.5,3.55,0
26.72,49.06,997.75,16.86,0
38.17,75.04,1007.1,28.31,1
27.72,86.99,1018.12,23.9,0
34.25,89.9,996.64,9.79,1
22.71,96.24,1006.9,4.5,0
36.06,40.5,997.21,5.14,0
26.04,62.96,1018.58,18.71,0
28.85,78.74,1004.42,26.96,1
35.4,92.53,991.55,17.84,1
25.19,68.83,992.25,21.38,0
27.29,43.18,1009.68,2.37,0
39.73,44.68,998.94,13.07,1
38.3,77.03,995.91,10.29,1
37.81,45.96,999.39,16.68,1
39.11,63.31,1017.45,24.4,0
23.22,57.92,1002.88,27.87,0
37.21,63.1,1015.11,27.12,0
39.05,80.19,1002.22,18.29,1
36.68,94.4,1008.73,15.13,1
25.58,49.38,1019.32,26.68,0
35.0,97.07,1000.12,27.77,1
35.64,49.4,994.06,16.7,1
31.65,59.82,1013.29,7.32,0
24.38,68.57,1013.1,26.07,0
23.69,43.35,997.6,23.86,0
36.97,57.76,1007.52,8.32,0
24.06,77.23,995.58,15.44,1
36.37,44.72,1018.83,14.4,0
29.0,61.49,1004.51,3.29,0
36.02,55.33,997.6,24.18,1
28.08,96.64,992.21,4.22,1
39.69,79.6,991.94,20.43,1
32.13,41.97,1004.71,3.56,0
21.8,52.54,1009.07,20.16,0
38.49,89.0,1019.38,26.82,1
34.73,97.42,1000.08,18.02,1
27.36,78.1,1009.45,21.26,0
38.18,49.62,1006.52,9.85,0
23.34,65.08,1008.57,24.8,0
27.04,42.75,996.26,18.07,0
39.4,90.1,1014.2,6.19,0
39.06,62.54,990.54,7.62,0
23.41,67.44,1016.27,9.55,0
27.38,43.86,990.27,25.1,0
38.94,54.78,1005.21,6.64,0
26.44,40.06,999.29,26.74,0
38.85,60.37,996.92,12.66,1
24.26,70.39,1003.61,29.6,0
23.4,81.12,1018.92,25.37,0
38.12,51.5,995.63,9.71,0
34.59,89.46,1002.42,12.11,1
27.34,45.53,1001.93,14.25,0
38.6,91.48,1016.14,16.22,1
38.28,88.72,1016.34,24.35,1
34.01,98.85,994.22,3.75,1
29.32,48.04,1006.19,10.83,0
27.9,42.48,1004.56,4.0,0
26.14,87.08,1009.68,9.26,0
29.77,86.56,1004.41,24.71,1
26.99,99.25,991.69,6.83,0
31.64,86.98,998.76,10.59,1
23.84,42.64,1016.6,11.46,0
24.6,49.81,992.45,9.25,0
24.21,49.47,1007.17,2.86,0
39.1,69.79,1000.63,22.31,1
23.08,76.62,1003.51,5.5,0
25.15,47.07,995.3,22.02,0
37.26,85.61,1011.37,10.82,0
36.05,98.72,1002.24,17.61,1
21.17,44.37,1006.49,24.04,0
25.12,47.3,1008.68,26.13,0
32.01,79.41,1002.69,14.33,1
34.39,40.08,1010.79,27.14,0
28.31,94.12,1014.41,21.23,1
20.99,55.56,1004.78,24.16,0
28.17,54.36,1017.4,5.77,0
30.83,48.52,1010.4,12.47,0
20.03,43.01,1014.81,24.22,0
36.15,70.33,997.87,3.27,0
31.61,71.58,992.68,13.17,1
35.08,47.56,1007.13,15.14,0
24.7,99.39,1016.42,11.6,0
34.29,40.8,1018.62,20.01,0
33.89,86.36,1012.09,16.77,1
31.28,65.55,1014.83,29.84,0
